film_id,title,recommendation degree for customer 1
927,Uprising Uptown,4
283,Ending Crowds,4
232,Dirty Ace,4
415,High Encino,4
614,Name Detective,4
724,Remember Diary,4
827,Spice Sorority,4
250,Dragon Squad,4
166,Color Philadelphia,4
68,Betrayed Rear,4
835,Spy Mile,4
23,Anaconda Confessions,4
239,Dogma Family,4
610,Music Boondock,4
445,Hyde Doctor,4
512,League Hellfighters,4
691,Poseidon Forever,4
357,Gilbert Pelican,4
719,Records Zorro,4
525,Loathing Legally,4
84,Boiled Dares,4
471,Island Exorcist,4
313,Fidelity Devil,4
867,Super Wyoming,4
74,Birch Antitrust,4
267,Eagles Panky,4
213,Date Speed,4
545,Madness Attacks,4
591,Monsoon Cause,4
8,Airport Pollock,4
252,Dream Pickup,4
352,Gathering Calendar,4
696,Pride Alamo,4
574,Midnight Westward,4
118,Canyon Stock,4
620,Nemo Campus,4
556,Maltese Hope,4
748,Rugrats Shakespeare,4
398,Hanover Galaxy,4
857,Strictly Scarface,4
427,Homeward Cider,4
356,Giant Troopers,4
690,Pond Seattle,4
147,Chocolat Harry,4
601,Moulin Wake,4
818,Something Duck,4
706,Queen Luke,4
58,Beach Heartbreakers,4
456,Inch Jet,4
9,Alabama Devil,4
913,Troopers Metal,4
89,Borrowers Bedazzled,4
314,Fight Jawbreaker,4
859,Sugar Wonka,4
681,Pirates Roxanne,4
354,Ghost Groundhog,4
440,Hunger Roof,4
122,Carrie Bunch,4
172,Coneheads Smoochy,4
605,Mulholland Beast,4
324,Flintstones Happiness,4
688,Polish Brooklyn,4
854,Strangers Graffiti,4
473,Jacket Frisco,4
451,Igby Maker,3
979,Witches Panic,3
367,Goldmine Tycoon,3
816,Snowman Rollercoaster,3
450,Idols Snatchers,3
527,Lola Agent,3
749,Rules Human,3
452,Illusion Amelie,3
19,Amadeus Holy,3
54,Banger Pinocchio,3
928,Uptown Young,3
7,Airplane Sierra,3
937,Varsity Trip,3
533,Lost Bird,3
999,Zoolander Fiction,3
765,Saturn Name,3
56,Barefoot Manchurian,3
17,Alone Trip,3
243,Doors President,3
989,Working Microcosmos,3
689,Pollock Deliverance,3
833,Splendor Patton,3
777,Secretary Rouge,3
731,Right Cranes,3
469,Iron Moon,3
486,Jet Neighbors,3
22,Amistad Midsummer,3
458,Indian Love,3
242,Doom Dancing,3
894,Tomatoes Hellfighters,3
119,Caper Motions,3
406,Haunting Pianist,3
412,Heavyweights Beast,3
823,South Wait,3
872,Sweet Brotherhood,3
794,Side Ark,3
95,Breakfast Goldfinger,3
226,Destiny Saturday,3
758,Saints Bride,3
92,Bowfinger Gables,3
188,Crazy Home,3
82,Blood Argonauts,3
665,Patton Interview,3
29,Antitrust Tomatoes,3
149,Christmas Moonshine,3
162,Clueless Bucket,3
585,Mob Duffel,3
24,Analyze Hoosiers,3
752,Runner Madigan,3
303,Fantasy Troopers,3
615,Nash Chocolat,3
938,Velvet Terminator,3
397,Hanky October,3
273,Effect Gladiator,3
223,Desire Alien,3
425,Holy Tadpole,3
480,Jeepers Wedding,3
878,Teen Apollo,3
946,Virtual Spoilers,3
257,Drumline Cyclone,3
707,Quest Mussolini,3
110,Cabin Flash,3
983,Won Dares,3
670,Pelican Comforts,3
619,Neighbors Charade,3
800,Sinners Atlantis,3
970,Westward Seabiscuit,3
915,Truman Crazy,3
685,Platoon Instinct,3
957,War Notting,3
48,Backlash Undefeated,3
504,Kwai Homeward,3
834,Spoilers Hellfighters,3
658,Paris Weekend,3
932,Valley Packer,3
961,Wash Heavenly,3
772,Sea Virgin,3
628,Northwest Polish,3
528,Lolita World,3
997,Youth Kick,3
389,Gunfighter Mussolini,3
639,Opposite Necklace,3
873,Sweethearts Suspects,3
809,Slipper Fidelity,3
259,Duck Racer,3
865,Sunrise League,3
782,Shakespeare Saddle,3
975,Willow Tracy,3
578,Million Ace,3
79,Blade Polish,3
649,Oz Liaisons,3
455,Impossible Prejudice,3
977,Window Side,3
1,Academy Dinosaur,3
97,Bride Intrigue,3
66,Beneath Rush,3
102,Bubble Grosse,3
924,Unforgiven Zoolander,3
393,Halloween Nuts,3
567,Meet Chocolate,3
813,Smoochy Control,3
914,Trouble Date,3
838,Stagecoach Armageddon,3
203,Daisy Menagerie,3
246,Doubtfire Labyrinth,3
679,Pilot Hoosiers,3
956,Wanda Chamber,3
647,Outfield Massacre,3
971,Whale Bikini,3
555,Mallrats United,3
98,Bright Encounters,3
26,Annie Identity,3
651,Packer Madigan,3
515,Legally Secretary,3
988,Worker Tarzan,3
489,Juggler Hardly,3
492,Jungle Closer,3
921,Uncut Suicides,3
930,Vacation Boondock,3
769,School Jacket,3
353,Gentlemen Stage,3
139,Chasing Fight,3
737,Rock Instinct,3
529,Lonely Elephant,3
30,Anything Savannah,3
514,Lebowski Soldiers,3
821,Sorority Queen,3
369,Goodfellas Salute,3
338,Frisco Forrest,3
65,Behavior Runaway,3
265,Dying Maker,3
55,Barbarella Streetcar,3
993,Wrong Behavior,3
91,Bound Cheaper,3
597,Moonwalker Fool,3
344,Fury Murder,3
958,Wardrobe Phantom,3
235,Divide Monster,3
862,Summer Scarface,3
421,Holiday Games,3
727,Resurrection Silverado,3
236,Divine Resurrection,3
759,Salute Apollo,3
500,Kiss Glory,3
708,Quills Bull,3
667,Peach Innocent,3
589,Modern Dorado,3
160,Club Graffiti,3
474,Jade Bunch,3
617,Natural Stock,3
754,Rushmore Mermaid,3
530,Lord Arizona,2
57,Basic Easy,2
836,Squad Fish,2
907,Translation Summer,2
343,Full Flatliners,2
347,Games Bowfinger,2
571,Metal Armageddon,2
454,Impact Aladdin,2
677,Pianist Outfield,2
643,Orient Closer,2
668,Peak Forever,2
774,Searchers Wait,2
630,Notting Speakeasy,2
439,Hunchback Impossible,2
429,Honey Ties,2
45,Attraction Newton,2
521,Lies Treatment,2
262,Dumbo Lust,2
503,Kramer Chocolate,2
71,Bilko Anonymous,2
888,Thin Sagebrush,2
866,Sunset Racer,2
948,Voice Peach,2
449,Identity Lover,2
891,Timberland Sky,2
940,Victory Academy,2
327,Fool Mockingbird,2
995,Yentl Idaho,2
362,Glory Tracy,2
225,Destination Jerk,2
75,Bird Independence,2
547,Magic Mallrats,2
511,Lawrence Love,2
820,Sons Interview,2
266,Dynamite Tarzan,2
613,Mystic Truman,2
604,Mulan Moon,2
401,Harold French,2
592,Monster Spartacus,2
129,Cause Date,2
487,Jingle Sagebrush,2
260,Dude Blindness,2
852,Strangelove Desire,2
908,Trap Guys,2
829,Spinal Rocky,2
693,Potter Connecticut,2
499,King Evolution,2
624,Nightmare Chill,2
776,Secret Groundhog,2
840,Stampede Disturbing,2
424,Holocaust Highball,2
992,Wrath Mile,2
522,Life Twisted,2
93,Brannigan Sunrise,2
616,National Story,2
466,Intolerable Intentions,2
190,Creepers Kane,2
501,Kissing Dolls,2
231,Dinosaur Secretary,2
917,Tuxedo Mile,2
384,Grosse Wonderful,2
673,Personal Ladybugs,2
150,Cider Desire,2
994,Wyoming Storm,2
134,Champion Flatliners,2
488,Joon Northwest,2
199,Cupboard Sinners,2
923,Unfaithful Kill,2
20,Amelie Hellfighters,2
130,Celebrity Horn,2
898,Tourist Pelican,2
373,Graduate Lord,2
880,Telemark Heartbreakers,2
588,Model Fish,2
933,Vampire Whale,2
88,Born Spinal,2
936,Vanishing Rocky,2
319,Fish Opus,2
90,Boulevard Mob,2
848,Stone Fire,2
632,Nuts Ties,2
350,Garden Island,2
538,Loverboy Attacks,2
795,Siege Madre,2
745,Roses Treasure,2
255,Driving Polish,2
895,Tomorrow Hustler,2
156,Clerks Angels,2
882,Tenenbaums Command,2
595,Moon Bunch,2
269,Earring Instinct,2
568,Memento Zoolander,2
631,Novocaine Flight,2
680,Pinocchio Simon,2
179,Conquerer Nuts,2
4,Affair Prejudice,2
290,Everyone Craft,2
219,Deep Crusade,2
381,Grinch Massage,2
233,Disciple Mother,2
736,Robbery Bright,2
462,Insider Arizona,2
831,Spirited Casualties,2
945,Virginian Pluto,2
990,World Leathernecks,2
187,Cranes Reservoir,2
69,Beverly Outlaw,2
985,Wonderland Christmas,2
694,Prejudice Oleander,2
463,Instinct Airport,2
618,Necklace Outbreak,2
63,Bedazzled Married,2
636,Oleander Clue,2
96,Breaking Home,2
918,Twisted Pirates,2
103,Bucket Brotherhood,2
115,Campus Remember,2
281,Encino Elf,2
323,Flight Lies,2
316,Fire Wolves,2
132,Chainsaw Uptown,2
321,Flash Wars,2
12,Alaska Phantom,2
306,Feathers Metal,2
94,Braveheart Human,2
949,Volcano Texas,2
944,Virgin Daisy,2
602,Mourning Purple,2
534,Louisiana Harry,2
826,Speed Suit,2
25,Angels Life,2
536,Lovely Jingle,2
561,Mask Peach,2
623,Newton Labyrinth,2
598,Mosquito Armageddon,2
368,Gone Trouble,2
633,October Submarine,2
837,Stage World,2
271,Easy Gladiator,2
987,Words Hunter,2
929,Usual Untouchables,2
479,Jedi Beneath,2
227,Details Packer,2
659,Park Citizen,2
725,Requiem Tycoon,2
138,Chariots Conspiracy,2
931,Valentine Vanishing,2
710,Rage Games,2
702,Pulp Beverly,2
877,Taxi Kick,2
513,Leathernecks Dwarfs,2
61,Beauty Grease,2
78,Blackout Private,2
396,Hanging Deep,2
805,Sleepless Monsoon,2
39,Armageddon Lost,2
541,Luke Mummy,2
646,Outbreak Divine,2
72,Bill Others,2
920,Unbreakable Karate,2
683,Pity Bound,2
241,Donnie Alley,2
298,Eyes Driving,2
666,Paycheck Wait,2
395,Handicap Boondock,2
635,Oklahoma Jumanji,2
868,Superfly Trip,2
302,Fantasia Park,2
311,Fiction Christmas,2
418,Hobbit Alien,2
815,Snatchers Montezuma,2
984,Wonderful Drop,2
819,Song Hedwig,2
176,Congeniality Quest,2
100,Brooklyn Desert,2
339,Frogmen Breaking,2
577,Mile Mulan,2
363,Go Purple,2
52,Ballroom Mockingbird,2
390,Guys Falcon,2
289,Eve Resurrection,2
145,Chisum Behavior,2
50,Baked Cleopatra,2
35,Arachnophobia Rollercoaster,2
684,Pizza Jumanji,2
263,Durham Panky,2
660,Party Knock,2
111,Caddyshack Jedi,2
315,Finding Anaconda,2
364,Godfather Diary,2
483,Jericho Mulan,2
422,Hollow Jeopardy,2
133,Chamber Italian,2
184,Core Suit,2
519,Liberty Magnificent,2
830,Spirit Flintstones,2
210,Darko Dorado,2
432,Hope Tootsie,2
175,Confused Candles,2
493,Kane Exorcist,2
264,Dwarfs Alter,1
461,Insects Stone,1
770,Scissorhands Slums,1
141,Chicago North,1
173,Confessions Maguire,1
196,Cruelty Unforgiven,1
980,Wizard Coldblooded,1
634,Odds Boogie,1
51,Balloon Homeward,1
641,Orange Grapes,1
224,Desperate Trainspotting,1
291,Evolution Alter,1
464,Intentions Empire,1
312,Fiddler Lost,1
46,Autumn Crow,1
268,Early Home,1
251,Dragonfly Strangers,1
101,Brotherhood Blanket,1
472,Italian African,1
211,Darling Breaking,1
934,Vanilla Day,1
15,Alien Center,1
640,Opus Ice,1
692,Potluck Mixed,1
81,Blindness Gun,1
575,Midsummer Groundhog,1
912,Trojan Tomorrow,1
342,Fugitive Maguire,1
326,Flying Hook,1
953,Wait Cider,1
750,Run Pacific,1
498,Killer Innocent,1
423,Hollywood Anonymous,1
49,Badman Dawn,1
968,Werewolf Lola,1
64,Beethoven Exorcist,1
417,Hills Neighbors,1
576,Mighty Luck,1
703,Punk Divorce,1
828,Spiking Element,1
237,Divorce Shining,1
548,Magnificent Chitty,1
170,Command Darling,1
376,Grapes Fury,1
438,Human Graffiti,1
844,Steers Armageddon,1
180,Conspiracy Spirit,1
459,Informer Double,1
146,Chitty Lock,1
379,Greedy Roots,1
653,Panic Club,1
295,Expendable Stallion,1
212,Darn Forrester,1
293,Exorcist Sting,1
845,Stepmom Dream,1
125,Cassidy Wyoming,1
104,Bugsy Song,1
426,Home Pity,1
974,Wild Apollo,1
582,Miracle Virtual,1
53,Bang Kwai,1
430,Hook Chariots,1
543,Madigan Dorado,1
544,Madison Trap,1
278,Elf Murder,1
716,Reap Unfaithful,1
506,Lady Stage,1
272,Edge Kissing,1
806,Sleepy Japanese,1
817,Soldiers Evolution,1
540,Lucky Flying,1
876,Tarzan Videotape,1
986,Wonka Sea,1
436,Hours Rage,1
804,Sleeping Suspects,1
275,Egypt Tenenbaums,1
277,Elephant Trojan,1
797,Silence Kane,1
812,Smoking Barbarella,1
884,Terminator Club,1
697,Primary Glass,1
883,Tequila Past,1
370,Gorgeous Bingo,1
729,Rider Caddyshack,1
106,Bulworth Commandments,1
453,Image Princess,1
645,Others Soup,1
140,Cheaper Clyde,1
482,Jeopardy Encino,1
793,Shrunk Divine,1
672,Perfect Groove,1
186,Craft Outfield,1
960,Wars Pluto,1
807,Sleuth Orient,1
434,Horror Reign,1
485,Jersey Sassy,1
407,Hawk Chill,1
254,Driver Annie,1
478,Jaws Harry,1
77,Birds Perdition,1
380,Greek Everyone,1
557,Manchurian Curtain,1
238,Doctor Grail,1
896,Tootsie Pilot,1
287,Entrapment Satisfaction,1
435,Hotel Happiness,1
299,Factory Dragon,1
274,Egg Igby,1
491,Jumping Wrath,1
899,Towers Hurricane,1
565,Matrix Snowman,1
6,Agent Truman,1
28,Anthem Luke,1
276,Element Freddy,1
922,Undefeated Dalmations,1
747,Roxanne Rebel,1
296,Express Lonely,1
662,Paths Control,1
822,Soup Wisdom,1
394,Hamlet Wisdom,1
905,Trainspotting Strangers,1
340,Frontier Cabin,1
655,Panther Reds,1
629,Notorious Reunion,1
799,Simon North,1
832,Splash Gump,1
151,Cincinatti Whisperer,1
2,Ace Goldfinger,1
304,Fargo Gandhi,1
178,Connection Microcosmos,1
910,Treatment Jekyll,1
678,Pickup Driving,1
475,Japanese Run,1
27,Anonymous Human,1
411,Heavenly Gun,1
558,Mannequin Worst,1
717,Rear Trading,1
853,Stranger Strangers,1
935,Vanished Garden,1
695,President Bang,1
177,Connecticut Tramp,1
722,Reef Salute,1
76,Birdcage Casper,1
849,Storm Happiness,1
142,Chicken Hellfighters,1
881,Temple Attraction,1
32,Apocalypse Flamingos,1
336,French Holiday,1
733,River Outlaw,1
1000,Zorro Ark,1
206,Dancing Fever,1
718,Rebel Airport,1
916,Turn Star,1
470,Ishtar Rocketeer,1
942,Vietnam Smoochy,1
375,Grail Frankenstein,1
969,West Lion,1
593,Monterey Labyrinth,1
402,Harper Dying,1
546,Madre Gables,1
523,Lights Deer,1
566,Maude Mod,1
650,Pacific Amistad,1
169,Comforts Rush,1
183,Conversation Downhill,1
80,Blanket Beverly,1
674,Pet Haunting,1
596,Moonshine Cabin,1
606,Mummy Creatures,1
346,Galaxy Sweethearts,1
897,Torque Bound,1
792,Shrek License,1
496,Kick Savannah,1
998,Zhivago Core,1
517,Lesson Cleopatra,1
216,Day Unfaithful,1
371,Gosford Donnie,1
476,Jason Trap,1
10,Aladdin Calendar,1
214,Daughter Madigan,1
280,Empire Malkovich,1
248,Dozen Lion,1
644,Oscar Gold,1
587,Mod Secretary,1
124,Casper Dragonfly,1
137,Charade Duffel,1
155,Cleopatra Devil,1
185,Cowboy Doom,1
784,Shanghai Tycoon,1
494,Karate Moon,1
996,Young Language,1
